group,CRR1,CRR2,CRR_Congruent1,CRR_Congruent2,CRR_Incongruent1,CRR_Incongruent2,RT1,RT2,RT_Congruent1,RT_Congruent2,RT_Incongruent1,RT_Incongruent2,RT_Diff1,RT_Diff2,PES1,PES2,motivation1,motivation2,sleepness1,sleepness2,fatigue1,fatigue2
2,0.0306270952987344,0.0125523012552302,0.00467921389206605,-0.00724439584472392,0.0551483964863039,0.0296083363277039,-167.309259711002,-15.204175445317,-150.120093636017,-17.3425057327497,-185.58,-11.3317757009346,-35.4599063639828,6.01073003181511,-33.4460753587911,-40.8558995974786,-0.3,0.3,0.7,-1.8,-2.1,-1.8
2,-0.00970861624032271,0.0167364016736402,-0.0260613912696831,-0.0372508699778551,-0.000353481795687505,0.0685428392745466,-149.35638501504,-31.2280107733744,-141.719202898551,-24.7275362318841,-155.227246376812,-39.8251527128997,-13.5080434782608,-15.0976164810156,53.4179129311339,48.4044829677313,-0.4,-1.4,1.7,3.5,1.4,1
2,-0.0222449340096399,-0.0126050420168068,0.0101148168398032,-0.00935125657510227,-0.050936329588015,-0.0158469945355192,-234.664543380236,-17.7082470031079,-237.886656671664,-12.7478260869566,-231.480870254733,-22.613573808489,6.40578641693139,-9.86574772153244,-75.8767635054171,-82.559807508169,-1.2,-2.5,0.3,0.9,0.7,0.8
2,-0.00136862562614626,0.00421926092612779,-0.0067567567567568,0,0.00437053619017158,0.00875243123089742,-99.6682194308846,-1.10279639915723,-86.1614420062697,17.9452773613193,-115.954778307719,-21.6452017234626,-29.7933363014498,-39.5904790847819,-110.714782188522,-147.234012248967,-0.3,-0.1,-0.3,1.1,0,0
2,0.00706520322235826,0.0165289256198347,0.0307692307692308,0.0307692307692308,-0.0196078431372549,0,-159.241590389016,-18.9826086956522,-142.409375,-20.4441964285714,-181.063316993464,-24.227982718511,-38.6539419934641,-3.7837862899396,79.7449107031348,-35.4705882352941,-0.3,-0.4,-1.5,-1.1,-1.8,-1.1
2,0.0170793981309337,0.012833585316972,0.0185714285714286,0.0187651331719129,0.00987224157955868,0.00432900432900429,-198.890991421666,-24.2072150072149,-195.087209302326,-14.3793103448276,-199.965622612681,-32.4437591550382,-4.87841331035582,-18.0644488102106,13.1832380425731,58.9487731434633,-0.2,-0.8,0.1,0.1,-0.7,0
2,0.0152357212804111,-0.0129406987624243,-0.00617283950617287,-0.0610687022900763,0.0325598802395209,0.0341981132075472,-192.271311750868,41.5015005771451,-205.372895622896,24.9669312169312,-179.510671688638,64.0979465449803,25.8622239342577,39.1310153280491,28.9006255612293,5.99718902041911,0.5,-1.5,1.2,0.7,1.2,1
2,0.00926543811919311,0.00257116620752984,0.0247488360695908,0.0283900546640804,-0.00315126050420178,-0.0191924227318047,-295.569995832755,-56.3584103875663,-319.875318390219,-81.5055715312725,-274.592592592593,-34.5350877192982,45.2827257976264,46.9704838119743,-1.23395533693338,26.7228556753981,0.7,0.5,-0.8,0.6,-0.4,-0.3
2,0.000853958604718486,3.59098662358059e-05,0,-0.00740740740740742,0.00209280076536711,0.00884955752212391,-132.150553635433,-15.918869047619,-122.875,-10.1174242424242,-144.142533936652,-18.3463606286188,-21.2675339366516,-8.2289363861945,-263.280228114699,-99.726387078082,-0.2,-0.3,-0.1,0.0999999999999999,-1.6,-1.3
2,0.0328857803035034,0.0167364016736402,-0.00571428571428567,-0.00869565217391299,0.075995575221239,0.0481729945760777,-207.593804824561,8.80701754385962,-188.379586260734,19.8998509687034,-230.575099304866,-9.88743204349214,-42.195513044132,-29.7872830121955,16.2391311972782,-11.2546120159179,0.2,-1.3,-1.5,1.4,-0.6,0.5
2,0.0464558704837867,0.0342463345170705,0.0865965154390202,0.100525131282821,0.00178590188044958,-0.0427432216905901,-131.66893882126,39.0628462309278,-134.811925106224,46.9357208448117,-128.548107347943,30.0782930700053,6.26381775828082,-16.8574277748064,-13.0861887526993,30.8691968950588,-0.2,-0.9,0.3,0.8,-0.4,0.2
2,0.03729339930519,-0.024818401937046,0.0245901639344263,-0.0280414150129422,0.0506949191159718,-0.0235745614035088,-289.825446104744,190.78537675058,-272.712552742616,228.71509009009,-309.898921832884,147.534160873883,-37.1863690902682,-81.1809292162073,114.112392894462,-161.207179487179,0.7,0.4,-2.8,-1.7,-1.3,0.7
2,0.355086492225067,0.100418410041841,0.350857142857143,0.174201550387597,0.359758771929825,0.0125996810207337,117.390205922625,146.486237161531,121.474357736141,172.548387096774,113.982095650084,117.641393086677,-7.49226208605654,-54.9069940100972,186.739312447387,62.1677874811252,-0.3,-1.2,4.1,2.6,1.6,-0.5
2,0.263036283020046,0.132549476546087,0.245569007263923,0.141744122471296,0.278564049586777,0.118774226577927,-63.1781116171572,44.1401418439716,-72.602050137014,32.7157757496741,-51.1800725910315,57.190170940171,21.4219775459825,24.4743951904969,217.434319526627,29.6862980426894,0,0,0,0,0.4,0.9
2,0.2717140383783,-0.0334728033472803,0.269565217391304,-0.0822866344605475,0.272250291488535,0.00787983255355817,2.14556374697116,-13.6320628669878,-10.0231884057971,-4.63429951690819,17.0354576448991,-22.0124123378639,27.0586460506962,-17.3781128209557,32.078068454492,-14.254950088972,-1.6,-2.7,0.1,2.1,-0.1,1.3
