group,CRR1,CRR2,CRR_Congruent1,CRR_Congruent2,CRR_Incongruent1,CRR_Incongruent2,RT1,RT2,RT_Congruent1,RT_Congruent2,RT_Incongruent1,RT_Incongruent2,RT_Diff1,RT_Diff2,PES1,PES2,motivation1,motivation2,sleepness1,sleepness2,fatigue1,fatigue2
1,0.212277992277992,0.00571428571428567,0.163383838383838,-0.0263026302630263,0.260132488068951,0.0357477853048462,35.9552337063859,-14.7075531243425,9.82234269463208,-39.9187753826929,60.5479797979798,10.5612971823498,50.7256371033477,50.4800725650427,91.0101357786183,19.7702297702298,-1.5,0,1.5,0.4,0.8,-0.7
1,0.265048603547134,0.0220133688495753,0.23,-0.0222522522522522,0.299233412635474,0.0648011782032401,1.80071515785801,-48.8613988308892,-28.6320346320347,-79.2111111111111,35.9864452080947,-13.2954940345187,64.6184798401293,65.9156170765924,145.628868332657,75.5274709593974,-0.3,0.2,0.2,-2.1,-0.4,-0.7
1,-0.0415094339622641,-0.0158730158730159,-0.0272108843537415,0,-0.059322033898305,-0.0348837209302325,-242.851414627712,-24.0235773127545,-244.731983323407,-29.7886956521738,-236.650132485427,-13.7901712583767,8.08185083798026,15.9985243937971,73.8596993557624,106.698924731183,0.0999999999999996,0.4,-0.2,0.4,0.1,0.1
1,-0.0131516942980765,-0.0233382209188661,0.00980392156862742,0.00980392156862742,-0.0360952380952382,-0.0555109684323168,-254.231136558567,-43.7838188347965,-226.31,-30.8770588235294,-294.045067656045,-69.4919932896141,-67.7350676560454,-38.6149344660847,-6.41603815439214,39.3409846547315,0.100000000000001,0.100000000000001,-3.1,-3.1,-3,-0.2
1,0.135151714317012,0.0693162496963808,0.0454545454545454,0.022466039707419,0.222896506478596,0.118726634190552,-296.696574770259,-15.9891911426506,-278.119299951386,-10.1152661064426,-315.407539384846,-25.6355764473033,-37.2882394334607,-15.5203103408606,84.8879384994137,53.1581487825416,-1.1,-0.3,1.8,3.1,0.2,2.1
1,0.0220994475138122,0.00515029497143937,0,0,0.043010752688172,0.0110958590711507,-186.676492963104,23.6802139037434,-180.168856048166,23.8637718177948,-187.33956448245,20.2808988764044,-7.17070843428371,-3.58287294139041,-10.430790960452,128.034726280927,-0.3,-0.2,-2.3,0.4,-0.2,-0.1
1,0.0184795321637427,0.00902898271319319,0.027972027972028,0.0332070707070707,0.00407268170426056,-0.0171568627450981,-235.783463961887,6.48833226289867,-225.467338559164,20.3440649496081,-252.812992125984,-13.9664948453608,-27.3456535668204,-34.3105597949689,-36.8364906832298,-122.976326906737,0.6,0,-1.7,1,-1.2,0.6
1,0.0598050243719535,0.0136054421768708,0.0396039603960396,-0.0344701136780344,0.0903886190145732,0.0681818181818181,-167.097415643121,-60.0640642453884,-153.537714776632,-49.5910319287359,-184.864754098361,-70.1125,-31.3270393217284,-20.5214680712641,-52.1755937462704,1.11578947368423,1.5,1.3,-1.6,-1.5,-2.5,-0.6
1,0.0540886852527763,0.0251555460201673,0.0166666666666667,0.0166666666666667,0.0917562724014337,0.0228758169934641,-310.54642437781,-9.56666151408592,-303.690781314593,-18.9795839753467,-317.51251596424,8.74016800305458,-13.8217346496473,27.7197519784013,46.8582266477003,-28.9884642351602,0.1,-0.1,-2.6,-2.2,-3.1,-2.2
1,0.0152357212804111,0.0250694420027425,0.0169491525423728,0.00840214399536432,0.012549739822467,0.0413223140495868,-200.508695652174,-9.45495115878191,-168.800815217391,-1.25009619084256,-231.851051893408,-17.9653699466056,-63.0502366760169,-16.7152737557631,-45.6854351788562,-149.314412282633,0,1,0,0,-1.1,-1.3
